"group","LAD13CD","amount","year"
"Alcohol at home","E06000001",3.193643831,2010
"Alcohol away from home","E06000001",2.953915037,2010
"Bread","E06000001",1.895364507,2010
"Butter","E06000001",0.165770858,2010
"Cakes puddings and pastry","E06000001",0.907909743,2010
"Coffee","E06000001",0.269326187,2010
"Eating out","E06000001",7.950924069,2010
"Eggs","E06000001",0.276988958,2010
"Fish","E06000001",0.977401932,2010
"Fruit","E06000001",1.68940428,2010
"Milk products","E06000001",2.726327459,2010
"Non alcoholic drinks","E06000001",1.311578344,2010
"Oils and fats","E06000001",0.34679754,2010
"Other","E06000001",1.217688206,2010
"Pasta","E06000001",0.177540017,2010
"Poultry","E06000001",0.81647145,2010
"Processed and Other Meat","E06000001",0.005888532,2010
"Processed Meat","E06000001",2.885910022,2010
"Red Meat","E06000001",1.276506333,2010
"Rice","E06000001",0.118911758,2010
"Sauces and spices","E06000001",0.079901219,2010
"Sugar confectionary and jam","E06000001",1.528986599,2010
"Takeaway","E06000001",1.626325591,2010
"Tea","E06000001",0.206086925,2010
"Tobacco","E06000001",2.059319974,2010
"Vegtables","E06000001",3.114660805,2010
"Alcohol at home","E06000002",2.850447725,2010
"Alcohol away from home","E06000002",2.653713333,2010
"Bread","E06000002",1.783639557,2010
"Butter","E06000002",0.152137788,2010
"Cakes puddings and pastry","E06000002",0.84671278,2010
"Coffee","E06000002",0.247964955,2010
"Eating out","E06000002",7.400590203,2010
"Eggs","E06000002",0.262801914,2010
"Fish","E06000002",0.897345579,2010
"Fruit","E06000002",1.601257116,2010
"Milk products","E06000002",2.567772704,2010
"Non alcoholic drinks","E06000002",1.263734921,2010
"Oils and fats","E06000002",0.336487047,2010
"Other","E06000002",1.155481919,2010
"Pasta","E06000002",0.173368937,2010
"Poultry","E06000002",0.790463024,2010
"Processed and Other Meat","E06000002",0.006989206,2010
"Processed Meat","E06000002",2.645101895,2010
"Red Meat","E06000002",1.200100016,2010
"Rice","E06000002",0.140662241,2010
"Sauces and spices","E06000002",0.082909152,2010
"Sugar confectionary and jam","E06000002",1.440191965,2010
"Takeaway","E06000002",1.599964005,2010
"Tea","E06000002",0.192448562,2010
"Tobacco","E06000002",1.992899566,2010
"Vegtables","E06000002",2.939493148,2010
"Alcohol at home","E06000003",3.285469366,2010
"Alcohol away from home","E06000003",2.945898366,2010
"Bread","E06000003",1.949073042,2010
"Butter","E06000003",0.174038411,2010
"Cakes puddings and pastry","E06000003",0.934717388,2010
"Coffee","E06000003",0.282449484,2010
"Eating out","E06000003",7.974686756,2010
"Eggs","E06000003",0.286688365,2010
"Fish","E06000003",1.010878755,2010
"Fruit","E06000003",1.755327245,2010
"Milk products","E06000003",2.818909608,2010
"Non alcoholic drinks","E06000003",1.32754113,2010
"Oils and fats","E06000003",0.361198096,2010
"Other","E06000003",1.250577689,2010
"Pasta","E06000003",0.1769767,2010
"Poultry","E06000003",0.836901967,2010
"Processed and Other Meat","E06000003",0.006263456,2010
"Processed Meat","E06000003",2.990205749,2010
"Red Meat","E06000003",1.331001392,2010
"Rice","E06000003",0.120794275,2010
"Sauces and spices","E06000003",0.082730144,2010
"Sugar confectionary and jam","E06000003",1.570187646,2010
"Takeaway","E06000003",1.607663853,2010
"Tea","E06000003",0.217557148,2010
